car,model_year,country,attribute,value
audi 100ls,1973,Europe,Displacement,114.0
volvo 144ea,1973,Europe,Displacement,121.0
dodge dart custom,1973,USA,Displacement,318.0
saab 99le,1973,Europe,Displacement,121.0
toyota mark ii,1973,Japan,Displacement,156.0
oldsmobile omega,1973,USA,Displacement,350.0
plymouth duster,1974,USA,Displacement,198.0
ford maverick,1974,USA,Displacement,200.0
amc hornet,1974,USA,Displacement,232.0
chevrolet nova,1974,USA,Displacement,250.0
datsun b210,1974,Japan,Displacement,79.0
ford pinto,1974,USA,Displacement,122.0
toyota corolla 1200,1974,Japan,Displacement,71.0
chevrolet vega,1974,USA,Displacement,140.0
chevrolet chevelle malibu classic,1974,USA,Displacement,250.0
amc matador,1974,USA,Displacement,258.0
plymouth satellite sebring,1974,USA,Displacement,225.0
ford gran torino,1974,USA,Displacement,302.0
buick century luxus (sw),1974,USA,Displacement,350.0
dodge coronet custom (sw),1974,USA,Displacement,318.0
ford gran torino (sw),1974,USA,Displacement,302.0
amc matador (sw),1974,USA,Displacement,304.0
audi fox,1974,Europe,Displacement,98.0
volkswagen dasher,1974,Europe,Displacement,79.0
opel manta,1974,Europe,Displacement,97.0
toyota corona,1974,Japan,Displacement,76.0
datsun 710,1974,Japan,Displacement,83.0
dodge colt,1974,USA,Displacement,90.0
fiat 128,1974,Europe,Displacement,90.0
fiat 124 tc,1974,Europe,Displacement,116.0
honda civic,1974,Japan,Displacement,120.0
subaru,1974,Japan,Displacement,108.0
fiat x1.9,1974,Europe,Displacement,79.0
plymouth valiant custom,1975,USA,Displacement,225.0
chevrolet nova,1975,USA,Displacement,250.0
mercury monarch,1975,USA,Displacement,250.0
ford maverick,1975,USA,Displacement,250.0
pontiac catalina,1975,USA,Displacement,400.0
chevrolet bel air,1975,USA,Displacement,350.0
plymouth grand fury,1975,USA,Displacement,318.0
ford ltd,1975,USA,Displacement,351.0
buick century,1975,USA,Displacement,231.0
chevroelt chevelle malibu,1975,USA,Displacement,250.0
amc matador,1975,USA,Displacement,258.0
plymouth fury,1975,USA,Displacement,225.0
buick skyhawk,1975,USA,Displacement,231.0
chevrolet monza 2+2,1975,USA,Displacement,262.0
ford mustang ii,1975,USA,Displacement,302.0
toyota corolla,1975,Japan,Displacement,97.0
ford pinto,1975,USA,Displacement,140.0
amc gremlin,1975,USA,Displacement,232.0
pontiac astro,1975,USA,Displacement,140.0
toyota corona,1975,Japan,Displacement,134.0
volkswagen dasher,1975,Europe,Displacement,90.0
datsun 710,1975,Japan,Displacement,119.0
ford pinto,1975,USA,Displacement,171.0
volkswagen rabbit,1975,Europe,Displacement,90.0
amc pacer,1975,USA,Displacement,232.0
audi 100ls,1975,Europe,Displacement,115.0
peugeot 504,1975,Europe,Displacement,120.0
volvo 244dl,1975,Europe,Displacement,121.0
saab 99le,1975,Europe,Displacement,121.0
honda civic cvcc,1975,Japan,Displacement,91.0
fiat 131,1976,Europe,Displacement,107.0
opel 1900,1976,Europe,Displacement,116.0
capri ii,1976,USA,Displacement,140.0
dodge colt,1976,USA,Displacement,98.0
renault 12tl,1976,Europe,Displacement,101.0
chevrolet chevelle malibu classic,1976,USA,Displacement,305.0
dodge coronet brougham,1976,USA,Displacement,318.0
amc matador,1976,USA,Displacement,304.0
ford gran torino,1976,USA,Displacement,351.0
plymouth valiant,1976,USA,Displacement,225.0
chevrolet nova,1976,USA,Displacement,250.0
ford maverick,1976,USA,Displacement,200.0
amc hornet,1976,USA,Displacement,232.0
chevrolet chevette,1976,USA,Displacement,85.0
chevrolet woody,1976,USA,Displacement,98.0
vw rabbit,1976,Europe,Displacement,90.0
honda civic,1976,Japan,Displacement,91.0
dodge aspen se,1976,USA,Displacement,225.0
ford granada ghia,1976,USA,Displacement,250.0
pontiac ventura sj,1976,USA,Displacement,250.0
amc pacer d/l,1976,USA,Displacement,258.0
volkswagen rabbit,1976,Europe,Displacement,97.0
datsun b-210,1976,Japan,Displacement,85.0
toyota corolla,1976,Japan,Displacement,97.0
ford pinto,1976,USA,Displacement,140.0
volvo 245,1976,Europe,Displacement,130.0
plymouth volare premier v8,1976,USA,Displacement,318.0
peugeot 504,1976,Europe,Displacement,120.0
toyota mark ii,1976,Japan,Displacement,156.0
mercedes-benz 280s,1976,Europe,Displacement,168.0
cadillac seville,1976,USA,Displacement,350.0
chevy c10,1976,USA,Displacement,350.0
ford f108,1976,USA,Displacement,302.0
dodge d100,1976,USA,Displacement,318.0
honda accord cvcc,1977,Japan,Displacement,98.0
buick opel isuzu deluxe,1977,USA,Displacement,111.0
renault 5 gtl,1977,Europe,Displacement,79.0
plymouth arrow gs,1977,USA,Displacement,122.0
datsun f-10 hatchback,1977,Japan,Displacement,85.0
chevrolet caprice classic,1977,USA,Displacement,305.0
oldsmobile cutlass supreme,1977,USA,Displacement,260.0
dodge monaco brougham,1977,USA,Displacement,318.0
mercury cougar brougham,1977,USA,Displacement,302.0
chevrolet concours,1977,USA,Displacement,250.0
buick skylark,1977,USA,Displacement,231.0
plymouth volare custom,1977,USA,Displacement,225.0
ford granada,1977,USA,Displacement,250.0
pontiac grand prix lj,1977,USA,Displacement,400.0
chevrolet monte carlo landau,1977,USA,Displacement,350.0
chrysler cordoba,1977,USA,Displacement,400.0
ford thunderbird,1977,USA,Displacement,351.0
volkswagen rabbit custom,1977,Europe,Displacement,97.0
pontiac sunbird coupe,1977,USA,Displacement,151.0
toyota corolla liftback,1977,Japan,Displacement,97.0
ford mustang ii 2+2,1977,USA,Displacement,140.0
chevrolet chevette,1977,USA,Displacement,98.0
dodge colt m/m,1977,USA,Displacement,98.0
subaru dl,1977,Japan,Displacement,97.0
volkswagen dasher,1977,Europe,Displacement,97.0
datsun 810,1977,Japan,Displacement,146.0
bmw 320i,1977,Europe,Displacement,121.0
mazda rx-4,1977,Japan,Displacement,80.0
volkswagen rabbit custom diesel,1978,Europe,Displacement,90.0
ford fiesta,1978,USA,Displacement,98.0
mazda glc deluxe,1978,Japan,Displacement,78.0
datsun b210 gx,1978,Japan,Displacement,85.0
honda civic cvcc,1978,Japan,Displacement,91.0
oldsmobile cutlass salon brougham,1978,USA,Displacement,260.0
dodge diplomat,1978,USA,Displacement,318.0
mercury monarch ghia,1978,USA,Displacement,302.0
pontiac phoenix lj,1978,USA,Displacement,231.0
chevrolet malibu,1978,USA,Displacement,200.0
ford fairmont (auto),1978,USA,Displacement,200.0
ford fairmont (man),1978,USA,Displacement,140.0
plymouth volare,1978,USA,Displacement,225.0
amc concord,1978,USA,Displacement,232.0
buick century special,1978,USA,Displacement,231.0
mercury zephyr,1978,USA,Displacement,200.0
dodge aspen,1978,USA,Displacement,225.0
amc concord d/l,1978,USA,Displacement,258.0
chevrolet monte carlo landau,1978,USA,Displacement,305.0
buick regal sport coupe (turbo),1978,USA,Displacement,231.0
ford futura,1978,USA,Displacement,302.0
dodge magnum xe,1978,USA,Displacement,318.0
chevrolet chevette,1978,USA,Displacement,98.0
toyota corona,1978,Japan,Displacement,134.0
datsun 510,1978,Japan,Displacement,119.0
dodge omni,1978,USA,Displacement,105.0
toyota celica gt liftback,1978,Japan,Displacement,134.0
plymouth sapporo,1978,USA,Displacement,156.0
oldsmobile starfire sx,1978,USA,Displacement,151.0
datsun 200-sx,1978,Japan,Displacement,119.0
audi 5000,1978,Europe,Displacement,131.0
volvo 264gl,1978,Europe,Displacement,163.0
saab 99gle,1978,Europe,Displacement,121.0
peugeot 604sl,1978,Europe,Displacement,163.0
volkswagen scirocco,1978,Europe,Displacement,89.0
honda accord lx,1978,Japan,Displacement,98.0
pontiac lemans v6,1979,USA,Displacement,231.0
mercury zephyr 6,1979,USA,Displacement,200.0
ford fairmont 4,1979,USA,Displacement,140.0
amc concord dl 6,1979,USA,Displacement,232.0
dodge aspen 6,1979,USA,Displacement,225.0
chevrolet caprice classic,1979,USA,Displacement,305.0
ford ltd landau,1979,USA,Displacement,302.0
mercury grand marquis,1979,USA,Displacement,351.0
dodge st. regis,1979,USA,Displacement,318.0
buick estate wagon (sw),1979,USA,Displacement,350.0
ford country squire (sw),1979,USA,Displacement,351.0
chevrolet malibu classic (sw),1979,USA,Displacement,267.0
chrysler lebaron town @ country (sw),1979,USA,Displacement,360.0
vw rabbit custom,1979,Europe,Displacement,89.0
maxda glc deluxe,1979,Japan,Displacement,86.0
dodge colt hatchback custom,1979,USA,Displacement,98.0
amc spirit dl,1979,USA,Displacement,121.0
mercedes benz 300d,1979,Europe,Displacement,183.0
cadillac eldorado,1979,USA,Displacement,350.0
peugeot 504,1979,Europe,Displacement,141.0
oldsmobile cutlass salon brougham,1979,USA,Displacement,260.0
plymouth horizon,1979,USA,Displacement,105.0
plymouth horizon tc3,1979,USA,Displacement,105.0
datsun 210,1979,Japan,Displacement,85.0
fiat strada custom,1979,Europe,Displacement,91.0
buick skylark limited,1979,USA,Displacement,151.0
chevrolet citation,1979,USA,Displacement,173.0
oldsmobile omega brougham,1979,USA,Displacement,173.0
pontiac phoenix,1979,USA,Displacement,151.0
vw rabbit,1980,Europe,Displacement,98.0
toyota corolla tercel,1980,Japan,Displacement,89.0
chevrolet chevette,1980,USA,Displacement,98.0
datsun 310,1980,Japan,Displacement,86.0
chevrolet citation,1980,USA,Displacement,151.0
ford fairmont,1980,USA,Displacement,140.0
amc concord,1980,USA,Displacement,151.0
dodge aspen,1980,USA,Displacement,225.0
audi 4000,1980,Europe,Displacement,97.0
toyota corona liftback,1980,Japan,Displacement,134.0
mazda 626,1980,Japan,Displacement,120.0
datsun 510 hatchback,1980,Japan,Displacement,119.0
toyota corolla,1980,Japan,Displacement,108.0
mazda glc,1980,Japan,Displacement,86.0
dodge colt,1980,USA,Displacement,156.0
datsun 210,1980,Japan,Displacement,85.0
vw rabbit c (diesel),1980,Europe,Displacement,90.0
vw dasher (diesel),1980,Europe,Displacement,90.0
audi 5000s (diesel),1980,Europe,Displacement,121.0
mercedes-benz 240d,1980,Europe,Displacement,146.0
honda civic 1500 gl,1980,Japan,Displacement,91.0
renault lecar deluxe,1980,Europe,Displacement,85.0
subaru dl,1980,Japan,Displacement,97.0
vokswagen rabbit,1980,Europe,Displacement,89.0
datsun 280-zx,1980,Japan,Displacement,168.0
mazda rx-7 gs,1980,Japan,Displacement,70.0
triumph tr7 coupe,1980,Europe,Displacement,122.0
ford mustang cobra,1980,USA,Displacement,140.0
honda accord,1980,Japan,Displacement,107.0
plymouth reliant,1981,USA,Displacement,135.0
buick skylark,1981,USA,Displacement,151.0
dodge aries wagon (sw),1981,USA,Displacement,156.0
chevrolet citation,1981,USA,Displacement,173.0
plymouth reliant,1981,USA,Displacement,135.0
toyota starlet,1981,Japan,Displacement,79.0
plymouth champ,1981,USA,Displacement,86.0
honda civic 1300,1981,Japan,Displacement,81.0
subaru,1981,Japan,Displacement,97.0
datsun 210 mpg,1981,Japan,Displacement,85.0
toyota tercel,1981,Japan,Displacement,89.0
mazda glc 4,1981,Japan,Displacement,91.0
plymouth horizon 4,1981,USA,Displacement,105.0
ford escort 4w,1981,USA,Displacement,98.0
ford escort 2h,1981,USA,Displacement,98.0
volkswagen jetta,1981,Europe,Displacement,105.0
renault 18i,1981,Europe,Displacement,100.0
honda prelude,1981,Japan,Displacement,107.0
toyota corolla,1981,Japan,Displacement,108.0
datsun 200sx,1981,Japan,Displacement,119.0
mazda 626,1981,Japan,Displacement,120.0
peugeot 505s turbo diesel,1981,Europe,Displacement,141.0
volvo diesel,1981,Europe,Displacement,145.0
toyota cressida,1981,Japan,Displacement,168.0
datsun 810 maxima,1981,Japan,Displacement,146.0
buick century,1981,USA,Displacement,231.0
oldsmobile cutlass ls,1981,USA,Displacement,350.0
ford granada gl,1981,USA,Displacement,200.0
chrysler lebaron salon,1981,USA,Displacement,225.0
chevrolet cavalier,1982,USA,Displacement,112.0
chevrolet cavalier wagon,1982,USA,Displacement,112.0
chevrolet cavalier 2-door,1982,USA,Displacement,112.0
pontiac j2000 se hatchback,1982,USA,Displacement,112.0
dodge aries se,1982,USA,Displacement,135.0
pontiac phoenix,1982,USA,Displacement,151.0
ford fairmont futura,1982,USA,Displacement,140.0
amc concord dl,1982,USA,Displacement,151.0
volkswagen rabbit l,1982,Europe,Displacement,105.0
mazda glc custom l,1982,Japan,Displacement,91.0
mazda glc custom,1982,Japan,Displacement,91.0
plymouth horizon miser,1982,USA,Displacement,105.0
mercury lynx l,1982,USA,Displacement,98.0
nissan stanza xe,1982,Japan,Displacement,120.0
honda accord,1982,Japan,Displacement,107.0
toyota corolla,1982,Japan,Displacement,108.0
honda civic,1982,Japan,Displacement,91.0
honda civic (auto),1982,Japan,Displacement,91.0
datsun 310 gx,1982,Japan,Displacement,91.0
buick century limited,1982,USA,Displacement,181.0
oldsmobile cutlass ciera (diesel),1982,USA,Displacement,262.0
chrysler lebaron medallion,1982,USA,Displacement,156.0
ford granada l,1982,USA,Displacement,232.0
toyota celica gt,1982,Japan,Displacement,144.0
dodge charger 2.2,1982,USA,Displacement,135.0
chevrolet camaro,1982,USA,Displacement,151.0
ford mustang gl,1982,USA,Displacement,140.0
vw pickup,1982,Europe,Displacement,97.0
dodge rampage,1982,USA,Displacement,135.0
ford ranger,1982,USA,Displacement,120.0
chevy s-10,1982,USA,Displacement,119.0
chevrolet chevelle malibu,1970,USA,Weight,3504.0
buick skylark 320,1970,USA,Weight,3693.0
plymouth satellite,1970,USA,Weight,3436.0
amc rebel sst,1970,USA,Weight,3433.0
ford torino,1970,USA,Weight,3449.0
ford galaxie 500,1970,USA,Weight,4341.0
chevrolet impala,1970,USA,Weight,4354.0
plymouth fury iii,1970,USA,Weight,4312.0
pontiac catalina,1970,USA,Weight,4425.0
amc ambassador dpl,1970,USA,Weight,3850.0
dodge challenger se,1970,USA,Weight,3563.0
plymouth 'cuda 340,1970,USA,Weight,3609.0
chevrolet monte carlo,1970,USA,Weight,3761.0
buick estate wagon (sw),1970,USA,Weight,3086.0
toyota corona mark ii,1970,Japan,Weight,2372.0
plymouth duster,1970,USA,Weight,2833.0
amc hornet,1970,USA,Weight,2774.0
ford maverick,1970,USA,Weight,2587.0
datsun pl510,1970,Japan,Weight,2130.0
volkswagen 1131 deluxe sedan,1970,Europe,Weight,1835.0
peugeot 504,1970,Europe,Weight,2672.0
audi 100 ls,1970,Europe,Weight,2430.0
saab 99e,1970,Europe,Weight,2375.0
bmw 2002,1970,Europe,Weight,2234.0
amc gremlin,1970,USA,Weight,2648.0
ford f250,1970,USA,Weight,4615.0
chevy c20,1970,USA,Weight,4376.0
dodge d200,1970,USA,Weight,4382.0
hi 1200d,1970,USA,Weight,4732.0
datsun pl510,1971,Japan,Weight,2130.0
chevrolet vega 2300,1971,USA,Weight,2264.0
toyota corona,1971,Japan,Weight,2228.0
ford pinto,1971,USA,Weight,2046.0
amc gremlin,1971,USA,Weight,2634.0
plymouth satellite custom,1971,USA,Weight,3439.0
chevrolet chevelle malibu,1971,USA,Weight,3329.0
ford torino 500,1971,USA,Weight,3302.0
amc matador,1971,USA,Weight,3288.0
chevrolet impala,1971,USA,Weight,4209.0
pontiac catalina brougham,1971,USA,Weight,4464.0
ford galaxie 500,1971,USA,Weight,4154.0
plymouth fury iii,1971,USA,Weight,4096.0
dodge monaco (sw),1971,USA,Weight,4955.0
ford country squire (sw),1971,USA,Weight,4746.0
pontiac safari (sw),1971,USA,Weight,5140.0
amc hornet sportabout (sw),1971,USA,Weight,2962.0
chevrolet vega (sw),1971,USA,Weight,2408.0
pontiac firebird,1971,USA,Weight,3282.0
ford mustang,1971,USA,Weight,3139.0
mercury capri 2000,1971,USA,Weight,2220.0
opel 1900,1971,Europe,Weight,2123.0
peugeot 304,1971,Europe,Weight,2074.0
fiat 124b,1971,Europe,Weight,2065.0
toyota corolla 1200,1971,Japan,Weight,1773.0
datsun 1200,1971,Japan,Weight,1613.0
volkswagen model 111,1971,Europe,Weight,1834.0
plymouth cricket,1971,USA,Weight,1955.0
toyota corona hardtop,1972,Japan,Weight,2278.0
dodge colt hardtop,1972,USA,Weight,2126.0
volkswagen type 3,1972,Europe,Weight,2254.0
chevrolet vega,1972,USA,Weight,2408.0
ford pinto runabout,1972,USA,Weight,2226.0
chevrolet impala,1972,USA,Weight,4274.0
pontiac catalina,1972,USA,Weight,4385.0
plymouth fury iii,1972,USA,Weight,4135.0
ford galaxie 500,1972,USA,Weight,4129.0
amc ambassador sst,1972,USA,Weight,3672.0
mercury marquis,1972,USA,Weight,4633.0
buick lesabre custom,1972,USA,Weight,4502.0
oldsmobile delta 88 royale,1972,USA,Weight,4456.0
chrysler newport royal,1972,USA,Weight,4422.0
mazda rx2 coupe,1972,Japan,Weight,2330.0
amc matador (sw),1972,USA,Weight,3892.0
chevrolet chevelle concours (sw),1972,USA,Weight,4098.0
ford gran torino (sw),1972,USA,Weight,4294.0
plymouth satellite custom (sw),1972,USA,Weight,4077.0
volvo 145e (sw),1972,Europe,Weight,2933.0
volkswagen 411 (sw),1972,Europe,Weight,2511.0
peugeot 504 (sw),1972,Europe,Weight,2979.0
renault 12 (sw),1972,Europe,Weight,2189.0
ford pinto (sw),1972,USA,Weight,2395.0
datsun 510 (sw),1972,Japan,Weight,2288.0
toyouta corona mark ii (sw),1972,Japan,Weight,2506.0
dodge colt (sw),1972,USA,Weight,2164.0
toyota corolla 1600 (sw),1972,Japan,Weight,2100.0
buick century 350,1973,USA,Weight,4100.0
amc matador,1973,USA,Weight,3672.0
chevrolet malibu,1973,USA,Weight,3988.0
ford gran torino,1973,USA,Weight,4042.0
dodge coronet custom,1973,USA,Weight,3777.0
mercury marquis brougham,1973,USA,Weight,4952.0
chevrolet caprice classic,1973,USA,Weight,4464.0
ford ltd,1973,USA,Weight,4363.0
plymouth fury gran sedan,1973,USA,Weight,4237.0
chrysler new yorker brougham,1973,USA,Weight,4735.0
buick electra 225 custom,1973,USA,Weight,4951.0
amc ambassador brougham,1973,USA,Weight,3821.0
plymouth valiant,1973,USA,Weight,3121.0
chevrolet nova custom,1973,USA,Weight,3278.0
amc hornet,1973,USA,Weight,2945.0
ford maverick,1973,USA,Weight,3021.0
plymouth duster,1973,USA,Weight,2904.0
volkswagen super beetle,1973,Europe,Weight,1950.0
chevrolet impala,1973,USA,Weight,4997.0
ford country,1973,USA,Weight,4906.0
plymouth custom suburb,1973,USA,Weight,4654.0
oldsmobile vista cruiser,1973,USA,Weight,4499.0
amc gremlin,1973,USA,Weight,2789.0
toyota carina,1973,Japan,Weight,2279.0
chevrolet vega,1973,USA,Weight,2401.0
datsun 610,1973,Japan,Weight,2379.0
maxda rx3,1973,Japan,Weight,2124.0
ford pinto,1973,USA,Weight,2310.0
mercury capri v6,1973,USA,Weight,2472.0
fiat 124 sport coupe,1973,Europe,Weight,2265.0
chevrolet monte carlo s,1973,USA,Weight,4082.0
pontiac grand prix,1973,USA,Weight,4278.0
fiat 128,1973,Europe,Weight,1867.0
opel manta,1973,Europe,Weight,2158.0
audi 100ls,1973,Europe,Weight,2582.0
volvo 144ea,1973,Europe,Weight,2868.0
dodge dart custom,1973,USA,Weight,3399.0
saab 99le,1973,Europe,Weight,2660.0
toyota mark ii,1973,Japan,Weight,2807.0
oldsmobile omega,1973,USA,Weight,3664.0
plymouth duster,1974,USA,Weight,3102.0
ford maverick,1974,USA,Weight,2875.0
amc hornet,1974,USA,Weight,2901.0
chevrolet nova,1974,USA,Weight,3336.0
datsun b210,1974,Japan,Weight,1950.0
ford pinto,1974,USA,Weight,2451.0
toyota corolla 1200,1974,Japan,Weight,1836.0
chevrolet vega,1974,USA,Weight,2542.0
chevrolet chevelle malibu classic,1974,USA,Weight,3781.0
amc matador,1974,USA,Weight,3632.0
plymouth satellite sebring,1974,USA,Weight,3613.0
ford gran torino,1974,USA,Weight,4141.0
buick century luxus (sw),1974,USA,Weight,4699.0
dodge coronet custom (sw),1974,USA,Weight,4457.0
ford gran torino (sw),1974,USA,Weight,4638.0
amc matador (sw),1974,USA,Weight,4257.0
audi fox,1974,Europe,Weight,2219.0
volkswagen dasher,1974,Europe,Weight,1963.0
opel manta,1974,Europe,Weight,2300.0
toyota corona,1974,Japan,Weight,1649.0
datsun 710,1974,Japan,Weight,2003.0
dodge colt,1974,USA,Weight,2125.0
fiat 128,1974,Europe,Weight,2108.0
fiat 124 tc,1974,Europe,Weight,2246.0
honda civic,1974,Japan,Weight,2489.0
subaru,1974,Japan,Weight,2391.0
fiat x1.9,1974,Europe,Weight,2000.0
plymouth valiant custom,1975,USA,Weight,3264.0
chevrolet nova,1975,USA,Weight,3459.0
mercury monarch,1975,USA,Weight,3432.0
ford maverick,1975,USA,Weight,3158.0
pontiac catalina,1975,USA,Weight,4668.0
chevrolet bel air,1975,USA,Weight,4440.0
plymouth grand fury,1975,USA,Weight,4498.0
ford ltd,1975,USA,Weight,4657.0
buick century,1975,USA,Weight,3907.0
chevroelt chevelle malibu,1975,USA,Weight,3897.0
amc matador,1975,USA,Weight,3730.0
plymouth fury,1975,USA,Weight,3785.0
buick skyhawk,1975,USA,Weight,3039.0
chevrolet monza 2+2,1975,USA,Weight,3221.0
ford mustang ii,1975,USA,Weight,3169.0
toyota corolla,1975,Japan,Weight,2171.0
ford pinto,1975,USA,Weight,2639.0
amc gremlin,1975,USA,Weight,2914.0
pontiac astro,1975,USA,Weight,2592.0
toyota corona,1975,Japan,Weight,2702.0
volkswagen dasher,1975,Europe,Weight,2223.0
datsun 710,1975,Japan,Weight,2545.0
ford pinto,1975,USA,Weight,2984.0
volkswagen rabbit,1975,Europe,Weight,1937.0
amc pacer,1975,USA,Weight,3211.0
audi 100ls,1975,Europe,Weight,2694.0
peugeot 504,1975,Europe,Weight,2957.0
volvo 244dl,1975,Europe,Weight,2945.0
saab 99le,1975,Europe,Weight,2671.0
honda civic cvcc,1975,Japan,Weight,1795.0
fiat 131,1976,Europe,Weight,2464.0
opel 1900,1976,Europe,Weight,2220.0
capri ii,1976,USA,Weight,2572.0
dodge colt,1976,USA,Weight,2255.0
renault 12tl,1976,Europe,Weight,2202.0
chevrolet chevelle malibu classic,1976,USA,Weight,4215.0
dodge coronet brougham,1976,USA,Weight,4190.0
amc matador,1976,USA,Weight,3962.0
ford gran torino,1976,USA,Weight,4215.0
plymouth valiant,1976,USA,Weight,3233.0
chevrolet nova,1976,USA,Weight,3353.0
ford maverick,1976,USA,Weight,3012.0
amc hornet,1976,USA,Weight,3085.0
chevrolet chevette,1976,USA,Weight,2035.0
chevrolet woody,1976,USA,Weight,2164.0
vw rabbit,1976,Europe,Weight,1937.0
honda civic,1976,Japan,Weight,1795.0
dodge aspen se,1976,USA,Weight,3651.0
ford granada ghia,1976,USA,Weight,3574.0
pontiac ventura sj,1976,USA,Weight,3645.0
amc pacer d/l,1976,USA,Weight,3193.0
volkswagen rabbit,1976,Europe,Weight,1825.0
datsun b-210,1976,Japan,Weight,1990.0
toyota corolla,1976,Japan,Weight,2155.0
ford pinto,1976,USA,Weight,2565.0
volvo 245,1976,Europe,Weight,3150.0
plymouth volare premier v8,1976,USA,Weight,3940.0
peugeot 504,1976,Europe,Weight,3270.0
toyota mark ii,1976,Japan,Weight,2930.0
mercedes-benz 280s,1976,Europe,Weight,3820.0
cadillac seville,1976,USA,Weight,4380.0
chevy c10,1976,USA,Weight,4055.0
ford f108,1976,USA,Weight,3870.0
dodge d100,1976,USA,Weight,3755.0
honda accord cvcc,1977,Japan,Weight,2045.0
buick opel isuzu deluxe,1977,USA,Weight,2155.0
renault 5 gtl,1977,Europe,Weight,1825.0
plymouth arrow gs,1977,USA,Weight,2300.0
datsun f-10 hatchback,1977,Japan,Weight,1945.0
chevrolet caprice classic,1977,USA,Weight,3880.0
oldsmobile cutlass supreme,1977,USA,Weight,4060.0
dodge monaco brougham,1977,USA,Weight,4140.0
mercury cougar brougham,1977,USA,Weight,4295.0
chevrolet concours,1977,USA,Weight,3520.0
buick skylark,1977,USA,Weight,3425.0
plymouth volare custom,1977,USA,Weight,3630.0
ford granada,1977,USA,Weight,3525.0
pontiac grand prix lj,1977,USA,Weight,4220.0
chevrolet monte carlo landau,1977,USA,Weight,4165.0
chrysler cordoba,1977,USA,Weight,4325.0
ford thunderbird,1977,USA,Weight,4335.0
volkswagen rabbit custom,1977,Europe,Weight,1940.0
pontiac sunbird coupe,1977,USA,Weight,2740.0
toyota corolla liftback,1977,Japan,Weight,2265.0
ford mustang ii 2+2,1977,USA,Weight,2755.0
chevrolet chevette,1977,USA,Weight,2051.0
dodge colt m/m,1977,USA,Weight,2075.0
subaru dl,1977,Japan,Weight,1985.0
volkswagen dasher,1977,Europe,Weight,2190.0
datsun 810,1977,Japan,Weight,2815.0
bmw 320i,1977,Europe,Weight,2600.0
mazda rx-4,1977,Japan,Weight,2720.0
volkswagen rabbit custom diesel,1978,Europe,Weight,1985.0
ford fiesta,1978,USA,Weight,1800.0
mazda glc deluxe,1978,Japan,Weight,1985.0
datsun b210 gx,1978,Japan,Weight,2070.0
honda civic cvcc,1978,Japan,Weight,1800.0
oldsmobile cutlass salon brougham,1978,USA,Weight,3365.0
dodge diplomat,1978,USA,Weight,3735.0
mercury monarch ghia,1978,USA,Weight,3570.0
pontiac phoenix lj,1978,USA,Weight,3535.0
chevrolet malibu,1978,USA,Weight,3155.0
ford fairmont (auto),1978,USA,Weight,2965.0
ford fairmont (man),1978,USA,Weight,2720.0
plymouth volare,1978,USA,Weight,3430.0
amc concord,1978,USA,Weight,3210.0
buick century special,1978,USA,Weight,3380.0
mercury zephyr,1978,USA,Weight,3070.0
dodge aspen,1978,USA,Weight,3620.0
amc concord d/l,1978,USA,Weight,3410.0
chevrolet monte carlo landau,1978,USA,Weight,3425.0
buick regal sport coupe (turbo),1978,USA,Weight,3445.0
ford futura,1978,USA,Weight,3205.0
dodge magnum xe,1978,USA,Weight,4080.0
chevrolet chevette,1978,USA,Weight,2155.0
toyota corona,1978,Japan,Weight,2560.0
datsun 510,1978,Japan,Weight,2300.0
dodge omni,1978,USA,Weight,2230.0
toyota celica gt liftback,1978,Japan,Weight,2515.0
plymouth sapporo,1978,USA,Weight,2745.0
oldsmobile starfire sx,1978,USA,Weight,2855.0
datsun 200-sx,1978,Japan,Weight,2405.0
audi 5000,1978,Europe,Weight,2830.0
volvo 264gl,1978,Europe,Weight,3140.0
saab 99gle,1978,Europe,Weight,2795.0
peugeot 604sl,1978,Europe,Weight,3410.0
volkswagen scirocco,1978,Europe,Weight,1990.0
honda accord lx,1978,Japan,Weight,2135.0
pontiac lemans v6,1979,USA,Weight,3245.0
mercury zephyr 6,1979,USA,Weight,2990.0
ford fairmont 4,1979,USA,Weight,2890.0
amc concord dl 6,1979,USA,Weight,3265.0
dodge aspen 6,1979,USA,Weight,3360.0
chevrolet caprice classic,1979,USA,Weight,3840.0
ford ltd landau,1979,USA,Weight,3725.0
mercury grand marquis,1979,USA,Weight,3955.0
dodge st. regis,1979,USA,Weight,3830.0
buick estate wagon (sw),1979,USA,Weight,4360.0
ford country squire (sw),1979,USA,Weight,4054.0
chevrolet malibu classic (sw),1979,USA,Weight,3605.0
chrysler lebaron town @ country (sw),1979,USA,Weight,3940.0
vw rabbit custom,1979,Europe,Weight,1925.0
maxda glc deluxe,1979,Japan,Weight,1975.0
dodge colt hatchback custom,1979,USA,Weight,1915.0
amc spirit dl,1979,USA,Weight,2670.0
mercedes benz 300d,1979,Europe,Weight,3530.0
cadillac eldorado,1979,USA,Weight,3900.0
peugeot 504,1979,Europe,Weight,3190.0
oldsmobile cutlass salon brougham,1979,USA,Weight,3420.0
plymouth horizon,1979,USA,Weight,2200.0
plymouth horizon tc3,1979,USA,Weight,2150.0
datsun 210,1979,Japan,Weight,2020.0
fiat strada custom,1979,Europe,Weight,2130.0
buick skylark limited,1979,USA,Weight,2670.0
chevrolet citation,1979,USA,Weight,2595.0
